start_ms=12203.666667
slip_symbols=-1
start_sym=6611
symbols=256
mag_ratio=1.371583
sym_evm=0.823887
diff_evm=1.027590
origin_frac=0.269531
quad_balance=0.101562
diff_balance=0.820312
i_mean=+0.000060
q_mean=+0.000345
idx	I	Q	mag	phase_deg	diff_phase_deg
6845	-0.303835	+0.200014	0.363760	+146.643	+7.796
6846	-0.460350	-0.124348	0.476849	-164.884	+48.473
6847	-0.027195	-0.330849	0.331965	-94.699	+70.185
6848	+0.084687	+0.017160	0.086408	+11.455	+106.154
6849	-0.130796	-0.021832	0.132606	-170.524	+178.022
6850	+0.054784	-0.070648	0.089400	-52.208	+118.316
6851	-0.210535	+0.252714	0.328921	+129.798	-177.994
6852	-0.602542	-0.366625	0.705316	-148.681	+81.521
6853	+0.143213	-0.766391	0.779657	-79.415	+69.266
6854	+0.468137	-0.263835	0.537365	-29.405	+50.010
6855	+0.399376	-0.215065	0.453601	-28.303	+1.102
6856	+0.785075	+0.002518	0.785079	+0.184	+28.486
6857	+0.562088	+0.789399	0.969068	+54.547	+54.364
6858	-0.263798	+0.768783	0.812783	+108.939	+54.392
6859	-0.366427	+0.305203	0.476883	+140.209	+31.270
6860	-0.465226	+0.233370	0.520477	+153.360	+13.152
6861	-0.552085	-0.207523	0.589800	-159.399	+47.240
6862	-0.131046	-0.457760	0.476148	-105.975	+53.424
6863	+0.106694	-0.161474	0.193539	-56.545	+49.430
6864	-0.042499	-0.129440	0.136238	-108.177	-51.631
6865	+0.160453	-0.174499	0.237055	-47.401	+60.775
6866	+0.131393	+0.070733	0.149222	+28.295	+75.696
