# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
1.8350  0.374  -0.094  0.470  T
1.8400  1.013  -0.103  0.614  T
1.8450  0.310  -0.024  0.184  T
1.8500  0.723  -0.016  0.118  T
1.8550  0.825  -0.065  0.177  T
1.8600  0.768  0.005  0.162  T
1.8650  0.458  -0.036  0.224  T
1.8700  0.822  -0.184  0.250  T
1.8750  0.311  -0.178  0.123  T
1.8800  0.051  -0.182  0.278  T
1.8850  0.072  -0.180  0.289  T
1.8900  0.175  -0.138  0.148  T
1.8950  0.169  0.179  0.076  P
1.9000  0.104  0.205  0.176  P
1.9050  0.127  0.243  0.149  P
1.9100  0.192  0.133  0.069  T
1.9150  0.214  -0.170  0.036  T
1.9200  0.246  -0.172  0.123  T
1.9250  0.171  0.140  0.083  T
1.9300  0.112  0.206  0.173  P
1.9350  0.142  0.241  0.151  P
1.9400  0.190  0.181  0.083  P
1.9450  0.109  0.206  0.173  P
1.9500  0.140  -0.072  0.157  T
1.9550  0.111  -0.125  0.591  T
1.9600  0.070  -0.080  0.275  T
1.9650  0.075  -0.051  0.198  T
1.9700  0.071  -0.043  0.197  T
1.9750  0.075  -0.044  0.323  T
1.9800  0.243  -0.027  0.365  T
1.9850  0.167  0.176  0.074  P
1.9900  0.104  0.204  0.177  P
1.9950  0.131  0.235  0.151  P
2.0000  0.052  -0.075  0.286  T
2.0050  0.056  -0.023  0.279  T
2.0100  0.082  0.005  0.207  T
2.0150  0.072  -0.045  0.198  T
2.0200  0.074  -0.049  0.324  T
2.0250  0.256  -0.039  0.405  T
2.0300  0.165  0.174  0.075  P
2.0350  0.104  0.204  0.173  P
2.0400  0.122  0.235  0.143  P
2.0450  0.047  -0.076  0.284  T
2.0500  0.057  -0.022  0.278  T
2.0550  0.083  0.005  0.207  T
2.0600  0.086  0.244  0.152  P
2.0650  0.081  0.250  0.170  P
2.0700  0.120  0.038  0.236  T
2.0750  0.370  -0.094  0.471  T
2.0800  1.017  -0.103  0.615  T
2.0850  0.509  -0.024  0.227  T
2.0900  0.178  -0.085  0.186  T
2.0950  0.144  0.011  0.184  T
2.1000  1.193  -0.063  0.247  T
2.1050  2.085  0.042  0.314  T
2.1100  0.791  -0.059  0.341  T
2.1150  0.961  0.048  0.271  T
2.1200  0.502  0.005  0.270  T
2.1250  0.431  0.007  0.294  T
2.1300  0.802  -0.115  0.237  T
2.1350  0.327  -0.114  0.134  T
2.1400  0.229  -0.166  0.110  T
2.1450  0.211  -0.021  0.128  T
2.1500  0.194  0.040  0.111  T
2.1550  0.153  0.015  0.150  T
2.1600  0.153  0.021  0.113  T
2.1650  0.329  0.130  0.149  T
2.1700  0.802  0.042  0.169  T
2.1750  0.424  -0.080  0.122  T
2.1800  0.161  -0.095  0.169  T
2.1850  0.529  -0.016  0.192  T
2.1900  0.394  0.044  0.185  T
2.1950  0.187  -0.059  0.179  T
2.2000  0.613  -0.091  0.801  T
2.2050  0.345  -0.095  0.537  T
2.2100  0.128  0.071  0.278  T
2.2150  0.072  -0.021  0.325  T
2.2200  0.277  -0.035  0.395  T
2.2250  0.184  0.175  0.079  P
2.2300  0.134  0.199  0.181  P
