start_ms=12203.000000
slip_symbols=-3
start_sym=6609
symbols=256
mag_ratio=1.369053
sym_evm=0.831612
diff_evm=1.009335
origin_frac=0.273438
quad_balance=0.023438
diff_balance=0.781250
i_mean=+0.002025
q_mean=-0.000472
idx	I	Q	mag	phase_deg	diff_phase_deg
6789	-0.152355	-0.014720	0.153064	-174.482	+74.870
6790	-0.034193	+0.042932	0.054885	+128.535	-56.983
6791	-0.348276	+0.052891	0.352270	+171.365	+42.829
6792	-0.363272	-0.599200	0.700720	-121.227	+67.408
6793	+0.539835	-0.614007	0.817574	-48.678	+72.549
6794	+0.579017	+0.121821	0.591694	+11.881	+60.559
6795	+0.407970	+0.249039	0.477975	+31.401	+19.520
6796	+0.310354	+0.773491	0.833431	+68.138	+36.736
6797	-0.630995	+0.855107	1.062715	+126.424	+58.287
6798	-0.908803	-0.165617	0.923770	-169.672	+63.904
6799	-0.313498	-0.512796	0.601033	-121.440	+48.232
6800	-0.195794	-0.560970	0.594157	-109.240	+12.199
6801	+0.302905	-0.833130	0.886486	-70.020	+39.220
6802	+1.003400	-0.073137	1.006062	-4.169	+65.851
6803	+0.487123	+0.612973	0.782958	+51.526	+55.695
6804	+0.016455	+0.451314	0.451614	+87.912	+36.386
6805	-0.163269	+0.447794	0.476631	+110.032	+22.120
6806	-0.552787	+0.108190	0.563275	+168.926	+58.894
6807	-0.281745	-0.387599	0.479179	-126.013	+65.060
6808	+0.078896	-0.145592	0.165595	-61.547	+64.466
6809	-0.044406	-0.139930	0.146807	-107.607	-46.060
6810	+0.200824	-0.076005	0.214726	-20.730	+86.877
6811	+0.107466	+0.112121	0.155306	+46.214	+66.944
6812	+0.027181	+0.131099	0.133887	+78.287	+32.072
6813	-0.026682	+0.116516	0.119532	+102.898	+24.612
6814	-0.090575	-0.000211	0.090575	-179.866	+77.235
6815	-0.016990	+0.077611	0.079449	+102.348	-77.785
6816	-0.402240	-0.048745	0.405182	-173.090	+84.561
6817	+0.064651	-0.654279	0.657466	-84.357	+88.733
6818	+0.611351	-0.001642	0.611353	-0.154	+84.203
6819	+0.249710	+0.326863	0.411333	+52.622	+52.776
6820	+0.120647	+0.335872	0.356884	+70.241	+17.620
6821	-0.240199	+0.441821	0.502893	+118.531	+48.290
6822	-0.417834	-0.110619	0.432229	-165.172	+76.297
6823	-0.034310	-0.187628	0.190739	-100.363	+64.809
6824	-0.080734	-0.097605	0.126668	-129.596	-29.233
6825	+0.004949	-0.196290	0.196352	-88.556	+41.040
6826	+0.176776	-0.009637	0.177038	-3.120	+85.435
6827	-0.000098	+0.053254	0.053255	+90.105	+93.226
6828	+0.035580	-0.042449	0.055388	-50.030	-140.136
6829	+0.028274	-0.010133	0.030034	-19.716	+30.314
6830	+0.079923	-0.021260	0.082702	-14.896	+4.820
6831	+0.044418	+0.101051	0.110382	+66.272	+81.168
6832	-0.041523	+0.043791	0.060348	+133.477	+67.205
6833	-0.010612	+0.034819	0.036400	+106.951	-26.526
6834	+0.033756	-0.021679	0.040118	-32.710	-139.661
6835	+0.063689	+0.125658	0.140876	+63.122	+95.832
6836	-0.077651	+0.074409	0.107546	+136.221	+73.099
6837	-0.071870	+0.068629	0.099374	+136.321	+0.100
6838	-0.192209	-0.019998	0.193247	-174.060	+49.619
6839	-0.039770	-0.132466	0.138307	-106.711	+67.349
6840	-0.105102	+0.004693	0.105207	+177.443	-75.845
6841	-0.243189	-0.355607	0.430810	-124.367	+58.189
6842	+0.424361	-0.532133	0.680623	-51.429	+72.938
6843	+0.617511	+0.234628	0.660583	+20.805	+72.233
6844	+0.067637	+0.391066	0.396872	+80.187	+59.383
6845	-0.007656	+0.363679	0.363760	+91.206	+11.019
6846	-0.433621	+0.198387	0.476849	+155.415	+64.209
6847	-0.207934	-0.258774	0.331965	-128.783	+75.802
6848	+0.083604	-0.021832	0.086408	-14.635	+114.148
6849	-0.131057	+0.020204	0.132606	+171.236	-174.129
6850	+0.040203	-0.079851	0.089400	-63.276	+125.488
6851	-0.202461	+0.259227	0.328921	+127.991	-168.733
6852	-0.548193	-0.443796	0.705316	-141.008	+91.002
6853	+0.365839	-0.688496	0.779657	-62.016	+78.992
6854	+0.537345	-0.004655	0.537365	-0.496	+61.519
6855	+0.453226	+0.018452	0.453601	+2.331	+2.828
6856	+0.544058	+0.565994	0.785079	+46.132	+43.801
6857	-0.317889	+0.915445	0.969068	+109.150	+63.018
6858	-0.811274	+0.049502	0.812783	+176.508	+67.359
6859	-0.412751	-0.238860	0.476883	-149.942	+33.550
6860	-0.303153	-0.423078	0.520477	-125.623	+24.319
6861	+0.191489	-0.557849	0.589800	-71.055	+54.569
6862	+0.474570	-0.038733	0.476148	-4.666	+66.389
6863	+0.131505	+0.142000	0.193539	+47.197	+51.863
6864	+0.135891	+0.009728	0.136238	+4.095	-43.103
