# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
2.1850  1.376  0.039  0.290  T
2.1900  1.896  0.012  0.358  T
2.1950  1.074  0.062  0.346  T
2.2000  0.645  -0.013  0.373  T
2.2050  0.496  -0.087  0.326  T
2.2100  0.607  -0.038  0.380  T
2.2150  0.767  0.056  0.349  T
2.2200  2.054  0.033  0.322  T
2.2250  2.291  0.073  0.343  T
2.2300  3.484  0.012  0.331  T
2.2350  5.531  -0.035  0.346  T
2.2400  3.249  -0.032  0.332  T
2.2450  2.147  0.059  0.320  T
2.2500  2.599  0.106  0.381  T
2.2550  1.534  -0.075  0.345  T
2.2600  0.560  -0.077  0.370  T
2.2650  0.472  0.139  0.382  T
2.2700  0.915  -0.023  0.349  T
2.2750  0.510  -0.013  0.319  T
2.2800  0.863  -0.025  0.305  T
2.2850  0.452  0.011  0.346  T
2.2900  0.685  -0.043  0.338  T
2.2950  4.257  -0.030  0.372  T
2.3000  3.073  -0.022  0.358  T
2.3050  2.417  0.063  0.348  T
2.3100  3.382  0.064  0.285  T
2.3150  2.342  -0.024  0.438  T
2.3200  2.497  -0.006  0.338  T
2.3250  1.743  0.127  0.428  T
2.3300  1.109  0.109  0.354  T
2.3350  1.071  -0.090  0.359  T
2.3400  1.374  -0.062  0.375  T
2.3450  2.610  -0.001  0.370  T
2.3500  4.290  0.036  0.393  T
2.3550  5.958  -0.078  0.371  T
2.3600  2.465  -0.052  0.312  T
2.3650  1.374  -0.040  0.398  T
2.3700  1.199  0.030  0.368  T
2.3750  3.727  0.031  0.265  T
2.3800  3.676  0.003  0.305  T
2.3850  0.470  0.100  0.305  T
2.3900  0.909  -0.060  0.365  T
2.3950  3.882  -0.004  0.426  T
2.4000  1.586  -0.002  0.348  T
2.4050  2.021  -0.047  0.332  T
2.4100  2.135  -0.042  0.351  T
2.4150  3.548  -0.014  0.371  T
2.4200  4.360  -0.026  0.331  T
2.4250  1.907  -0.036  0.320  T
2.4300  3.696  0.072  0.353  T
2.4350  3.984  0.041  0.379  T
2.4400  0.462  0.013  0.333  T
2.4450  0.340  -0.002  0.312  T
2.4500  2.583  -0.088  0.329  T
2.4550  4.913  -0.037  0.306  T
2.4600  6.746  0.013  0.342  T
2.4650  3.292  0.061  0.388  T
2.4700  0.614  -0.053  0.404  T
2.4750  0.549  0.007  0.402  T
2.4800  1.326  0.033  0.317  T
2.4850  2.630  -0.043  0.345  T
2.4900  3.187  -0.018  0.358  T
2.4950  4.768  0.023  0.393  T
2.5000  5.487  -0.011  0.379  T
2.5050  4.151  0.077  0.357  T
2.5100  2.040  0.111  0.273  T
2.5150  1.321  -0.118  0.318  T
2.5200  1.925  -0.034  0.377  T
2.5250  0.683  -0.008  0.388  T
2.5300  1.091  0.043  0.321  T
2.5350  2.880  -0.119  0.309  T
2.5400  3.942  -0.026  0.312  T
2.5450  5.587  0.073  0.322  T
2.5500  5.639  0.046  0.326  T
2.5550  4.135  0.037  0.380  T
2.5600  3.241  0.051  0.358  T
2.5650  3.469  0.010  0.357  T
2.5700  2.202  -0.020  0.346  T
2.5750  0.679  0.029  0.297  T
2.5800  1.240  -0.036  0.347  T
2.5850  2.489  0.034  0.268  T
2.5900  4.871  -0.015  0.299  T
2.5950  6.651  -0.013  0.300  T
2.6000  7.126  -0.078  0.342  T
2.6050  3.701  -0.049  0.393  T
2.6100  3.226  -0.075  0.455  T
2.6150  2.189  -0.007  0.418  T
2.6200  0.374  0.004  0.334  T
2.6250  0.258  -0.067  0.330  T
2.6300  2.462  -0.062  0.358  T
2.6350  3.203  0.028  0.519  T
2.6400  1.644  -0.023  0.386  T
2.6450  3.391  -0.017  0.338  T
2.6500  4.328  -0.021  0.394  T
2.6550  3.798  0.061  0.429  T
2.6600  3.043  0.032  0.354  T
2.6650  2.109  0.006  0.351  T
2.6700  1.463  -0.050  0.311  T
2.6750  2.205  -0.018  0.314  T
2.6800  6.494  -0.029  0.307  T
2.6850  2.905  0.031  0.382  T
2.6900  0.587  0.060  0.358  T
2.6950  0.954  0.020  0.377  T
2.7000  1.483  0.019  0.353  T
2.7050  0.923  -0.005  0.400  T
2.7100  0.551  -0.044  0.363  T
2.7150  2.781  0.007  0.303  T
2.7200  0.858  0.041  0.359  T
2.7250  1.679  0.022  0.278  T
2.7300  2.785  0.005  0.306  T
2.7350  3.520  0.007  0.388  T
2.7400  2.001  0.016  0.434  T
2.7450  1.692  -0.073  0.444  T
2.7500  3.777  0.042  0.353  T
2.7550  3.609  -0.040  0.367  T
2.7600  5.064  0.053  0.387  T
2.7650  4.686  0.017  0.257  T
2.7700  5.001  0.033  0.273  T
2.7750  1.961  -0.093  0.316  T
2.7800  0.223  0.051  0.306  T
2.7850  1.455  0.043  0.354  T
2.7900  5.886  0.103  0.303  T
2.7950  6.884  -0.016  0.306  T
2.8000  2.443  -0.077  0.518  T
2.8050  2.708  -0.047  0.413  T
2.8100  4.919  -0.061  0.441  T
2.8150  3.530  0.013  0.311  T
2.8200  2.092  -0.031  0.287  T
2.8250  1.589  0.111  0.315  T
2.8300  1.296  -0.005  0.290  T
2.8350  1.562  0.013  0.276  T
2.8400  3.073  -0.016  0.332  T
2.8450  1.968  -0.017  0.439  T
2.8500  0.840  -0.014  0.374  T
2.8550  1.485  -0.067  0.434  T
2.8600  1.148  0.052  0.321  T
2.8650  0.733  0.048  0.306  T
2.8700  1.548  0.076  0.349  T
2.8750  1.457  -0.032  0.345  T
2.8800  1.767  0.047  0.329  T
2.8850  2.260  0.054  0.402  T
2.8900  0.581  -0.033  0.266  T
2.8950  1.565  0.073  0.315  T
2.9000  0.651  0.063  0.276  T
2.9050  3.756  -0.029  0.279  T
2.9100  3.649  -0.034  0.306  T
2.9150  1.337  0.050  0.397  T
2.9200  2.747  -0.049  0.397  T
2.9250  3.682  -0.085  0.341  T
2.9300  1.698  0.039  0.310  T
2.9350  3.669  -0.066  0.365  T
2.9400  5.397  0.128  0.310  T
2.9450  1.095  -0.007  0.373  T
2.9500  0.708  -0.030  0.286  T
2.9550  1.510  0.032  0.363  T
2.9600  1.057  -0.049  0.316  T
2.9650  0.289  -0.023  0.338  T
2.9700  1.594  0.107  0.483  T
2.9750  1.674  0.013  0.416  T
2.9800  2.581  -0.052  0.406  T
2.9850  3.189  0.058  0.303  T
2.9900  2.056  -0.042  0.340  T
2.9950  1.541  0.078  0.372  T
3.0000  2.966  -0.011  0.359  T
3.0050  1.891  0.021  0.309  T
3.0100  0.789  -0.053  0.327  T
3.0150  0.673  -0.025  0.337  T
3.0200  1.230  0.016  0.349  T
3.0250  1.502  -0.051  0.346  T
3.0300  1.934  -0.000  0.368  T
3.0350  2.774  -0.010  0.351  T
3.0400  0.979  -0.024  0.370  T
3.0450  2.219  0.095  0.386  T
3.0500  3.009  -0.038  0.336  T
3.0550  1.112  -0.085  0.301  T
3.0600  1.728  0.060  0.411  T
3.0650  2.027  -0.041  0.334  T
3.0700  1.209  -0.052  0.417  T
3.0750  5.637  0.101  0.293  T
3.0800  6.225  -0.018  0.311  T
3.0850  0.471  -0.011  0.365  T
3.0900  0.702  0.008  0.424  T
3.0950  1.614  -0.041  0.372  T
3.1000  1.569  0.061  0.383  T
3.1050  1.266  -0.105  0.355  T
3.1100  1.740  0.045  0.390  T
3.1150  1.853  0.065  0.398  T
3.1200  3.321  0.023  0.309  T
3.1250  1.874  0.055  0.322  T
3.1300  0.172  0.066  0.324  T
3.1350  0.821  0.045  0.302  T
3.1400  1.126  0.043  0.326  T
3.1450  0.486  0.041  0.321  T
3.1500  0.255  -0.025  0.321  T
3.1550  1.352  0.038  0.384  T
3.1600  3.231  -0.009  0.317  T
3.1650  1.324  0.095  0.339  T
3.1700  0.801  0.042  0.399  T
3.1750  2.551  0.072  0.356  T
3.1800  1.134  -0.060  0.324  T
3.1850  0.312  -0.034  0.370  T
3.1900  1.062  -0.011  0.393  T
3.1950  4.162  -0.004  0.402  T
3.2000  4.610  0.074  0.365  T
3.2050  4.745  0.028  0.300  T
3.2100  7.021  0.087  0.291  T
3.2150  6.625  0.030  0.318  T
3.2200  4.429  0.157  0.355  P
3.2250  3.451  -0.018  0.296  T
3.2300  5.224  -0.048  0.288  T
3.2350  2.361  -0.073  0.286  T
3.2400  1.763  0.027  0.325  T
3.2450  2.342  0.116  0.365  T
3.2500  1.715  -0.076  0.351  T
3.2550  1.369  -0.071  0.363  T
3.2600  3.327  -0.006  0.355  T
3.2650  4.295  0.008  0.377  T
3.2700  0.729  -0.008  0.372  T
3.2750  0.734  -0.010  0.411  T
3.2800  0.889  0.038  0.397  T
3.2850  1.214  -0.022  0.318  T
3.2900  2.573  0.063  0.336  T
3.2950  1.538  0.036  0.323  T
3.3000  1.193  0.034  0.341  T
3.3050  1.363  -0.093  0.349  T
3.3100  1.312  0.044  0.337  T
3.3150  2.331  0.010  0.400  T
3.3200  2.010  0.033  0.358  T
3.3250  0.727  0.035  0.358  T
3.3300  0.677  0.004  0.324  T
3.3350  0.692  0.068  0.254  T
3.3400  0.898  -0.013  0.279  T
3.3450  2.115  -0.054  0.327  T
3.3500  1.789  0.027  0.374  T
3.3550  0.909  0.017  0.361  T
3.3600  1.715  0.013  0.363  T
3.3650  1.130  -0.020  0.396  T
3.3700  0.526  0.037  0.412  T
3.3750  0.489  0.112  0.357  T
3.3800  2.072  -0.075  0.370  T
3.3850  3.593  -0.080  0.339  T
3.3900  2.753  0.063  0.364  T
3.3950  1.119  -0.066  0.357  T
3.4000  0.153  -0.029  0.328  T
3.4050  1.206  0.036  0.447  T
3.4100  2.950  0.052  0.425  T
3.4150  2.922  0.099  0.386  T
3.4200  3.060  0.054  0.412  T
3.4250  3.155  -0.037  0.340  T
3.4300  5.803  0.056  0.350  T
3.4350  5.375  -0.061  0.310  T
3.4400  3.447  -0.025  0.384  T
3.4450  2.427  -0.007  0.390  T
3.4500  1.227  0.054  0.467  T
3.4550  0.915  0.093  0.382  T
3.4600  0.487  0.054  0.364  T
3.4650  0.724  0.001  0.378  T
3.4700  5.445  0.040  0.332  T
3.4750  4.897  0.067  0.367  T
3.4800  0.507  0.008  0.351  T
3.4850  3.961  -0.039  0.285  T
3.4900  3.869  -0.021  0.215  T
3.4950  1.288  -0.017  0.218  T
3.5000  2.309  -0.052  0.252  T
3.5050  3.517  -0.042  0.301  T
3.5100  1.696  -0.028  0.390  T
3.5150  0.923  -0.015  0.443  T
3.5200  0.321  0.050  0.408  T
3.5250  0.615  0.003  0.390  T
