# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
1.6850  0.003  0.028  0.253  T
1.6900  0.002  -0.008  0.258  T
1.6950  0.005  0.016  0.255  T
1.7000  0.002  0.025  0.256  T
1.7050  0.003  0.028  0.253  T
1.7100  0.002  -0.008  0.258  T
1.7150  0.005  0.016  0.255  T
1.7200  0.002  0.025  0.256  T
1.7250  0.003  0.028  0.253  T
1.7300  0.002  -0.008  0.258  T
1.7350  0.005  0.016  0.255  T
1.7400  0.002  0.025  0.256  T
1.7450  0.003  0.028  0.253  T
1.7500  0.002  -0.008  0.258  T
1.7550  0.005  0.016  0.255  T
1.7600  0.002  0.025  0.257  T
1.7650  0.003  0.028  0.253  T
1.7700  0.002  -0.008  0.258  T
1.7750  0.005  0.016  0.255  T
1.7800  0.002  0.025  0.257  T
1.7850  0.003  0.028  0.253  T
1.7900  0.002  -0.008  0.258  T
1.7950  0.005  0.016  0.255  T
1.8000  0.002  0.025  0.257  T
1.8050  0.003  0.028  0.253  T
1.8100  0.002  -0.008  0.258  T
1.8150  0.005  0.016  0.255  T
1.8200  0.002  0.025  0.256  T
1.8250  0.003  0.028  0.253  T
1.8300  0.002  -0.008  0.258  T
1.8350  0.005  0.016  0.255  T
1.8400  0.002  0.025  0.256  T
1.8450  0.003  0.028  0.253  T
1.8500  0.002  -0.008  0.258  T
1.8550  0.005  0.016  0.255  T
1.8600  0.002  0.025  0.256  T
1.8650  0.003  0.028  0.253  T
1.8700  0.002  -0.008  0.258  T
1.8750  0.005  0.016  0.255  T
1.8800  0.002  0.025  0.256  T
1.8850  0.003  0.028  0.253  T
1.8900  0.002  -0.008  0.258  T
1.8950  0.014  -0.032  0.348  T
1.9000  0.119  -0.011  0.718  T
1.9050  0.059  -0.006  0.231  T
1.9100  0.006  -0.099  0.014  T
1.9150  0.039  -0.111  0.002  T
1.9200  0.070  -0.044  0.002  T
1.9250  0.111  -0.182  0.002  T
1.9300  0.029  -0.021  0.002  T
1.9350  0.037  -0.003  0.002  T
1.9400  0.068  -0.079  0.001  T
1.9450  0.063  -0.168  0.000  T
1.9500  0.063  -0.168  0.000  T
1.9550  0.063  -0.168  0.000  T
1.9600  0.063  -0.168  0.000  T
1.9650  0.063  -0.168  0.000  T
1.9700  0.063  -0.168  0.000  T
1.9750  0.063  -0.169  0.000  T
1.9800  0.063  -0.168  0.000  T
1.9850  0.063  -0.116  0.000  T
1.9900  0.058  -0.048  0.002  T
1.9950  0.030  -0.015  0.002  T
2.0000  0.026  0.007  0.002  T
2.0050  0.017  -0.145  0.002  T
2.0100  0.019  -0.086  0.002  T
2.0150  0.009  -0.031  0.002  T
2.0200  0.021  -0.138  0.002  T
2.0250  0.013  -0.115  0.002  T
2.0300  0.021  -0.034  0.002  T
2.0350  0.029  -0.129  0.001  T
2.0400  0.005  -0.123  0.001  T
2.0450  0.001  -0.053  0.000  T
2.0500  0.010  -0.044  0.001  T
2.0550  0.048  -0.116  0.002  T
2.0600  0.052  -0.077  0.002  T
